Hogar,EXCLUIR,paraValidacion,Sector,DirCoordX,DirCoordY,MontoArr,IngresoHogar,Factor,AnosEstudio,CLASE,Sup_Prom_Constr_Hab_EOD,Calid_EOD_norm_inv,DensConstr_EOD,Dist_est_Metro_MC_KM,Dist_salida_Autop_MC_KM,Tiempo_Com_Stgo,Ingreso_Promedio_Zona_MM,Acc_Comercio_tpte_pub,Acc_Educacion_tpte_pub,Acc_Habitacion_tpte_pub,Acc_Industria_tpte_pub,Acc_Servicios_tpte_pub,Acc_Comercio_auto,Acc_Educacion_auto,Acc_Habitacion_auto,Acc_Industria_auto,Acc_Servicios_auto,CLUSTER7,CLUSTER2
136521,0,0,6,356043.6851,6287967.093,500000,874441,167.052307,17,3,54.8,0.36,0.07,3.609895541,4.697780871,73,1.102576333,1806.83465,1156.27765,18240.81707,1201.40901,1782.41232,4779.76,2929.04,51045.95,3968.75,4688.89,2,1
136531,0,0,6,352930.4661,6286715.114,200000,513881,105.769386,12,2,48.2,0.36,0.325,0.471634416,2.767329993,53,0.680447708,2927.3323,1808.14068,30697.11492,1815.78441,2905.35279,5566.21,3424.08,59286.18,4684.54,5423.39,2,1
136541,0,0,6,350855.9404,6285331.445,80000,235623,78.53231,14,2,26.7,0.36,0.263,1.991209613,2.414354531,76,0.467940203,1826.05017,1310.87624,21898.7923,1211.17251,1661.07209,5564.72,3451.76,59757.27,4731.68,5421.59,5,1
136551,0,0,6,353500.9289,6290388.241,150000,1615395,314.698944,10,1,38,0.36,0.23,1.395372459,1.307518168,53,0.522990077,2671.25131,1639.55319,27569.9558,1503.75821,2467.01109,6100.71,3686.65,64032.14,5083.39,6063.53,5,1
136560,0,0,6,351200.3608,6290420.68,400000,270000,86.360321,6,1,62.3,0.36,1.268,0.413936814,0.887581945,41,0.722117667,4378.46522,2663.16138,40911.28214,3053.66936,4495.53649,6850.78,4108.5,70713.01,5796.65,6790.15,1,2
136571,0,0,6,351940.5365,6285065.074,150000,253418,68.029823,12,2,47.9,0.36,0.262,0.963357639,2.589241424,66,0.475666738,2516.08531,1609.37375,27876.56804,1429.55837,2445.38295,5315.83,3318.12,57637.37,4485.97,5137.01,5,1
136572,0,0,6,351896.4221,6285106.509,150000,257038,88.264801,14,2,47.9,0.36,0.262,0.992173595,2.600655105,66,0.475666738,2516.08531,1609.37375,27876.56804,1429.55837,2445.38295,5315.83,3318.12,57637.37,4485.97,5137.01,5,1
136581,0,0,6,350612.7164,6285785.554,120000,472587,109.832047,10,1,35.2,0.36,0.341,1.881624541,1.923581029,61,0.503767691,2039.17027,1412.88879,22779.28728,1238.01826,2038.18005,6021.12,3690.31,63774.06,5138.22,5905.61,5,1
136591,0,0,6,350604.9034,6285857.623,120000,168205,164.893127,10,1,35.2,0.36,0.341,1.811380768,1.851139991,61,0.503767691,2039.17027,1412.88879,22779.28728,1238.01826,2038.18005,6021.12,3690.31,63774.06,5138.22,5905.61,5,1
136601,0,0,6,354679.1754,6289104.655,180000,472300,223.888412,13,2,54.6,0.36,0.242,2.734506071,2.93959657,60,0.845129333,1851.88837,1166.76243,18756.38874,1174.36185,1678.57259,5808.29,3521.58,61247.9,4829.91,5758.9,2,1
136611,0,0,6,350497.3242,6290002.774,200000,937629,110.851982,10,1,60.5,0.36,0.449,0.731516051,1.064045288,47,0.811801406,4387.04591,2696.32694,41240.90339,2993.4051,4561.72082,6655.02,3997.2,67660.03,5763.47,6598.77,2,1
136621,0,0,6,353768.3205,6288603.48,100000,484465,76.096222,12,2,54.6,0.36,0.242,1.711230105,2.533071859,60,0.845129333,1851.88837,1166.76243,18756.38874,1174.36185,1678.57259,5808.29,3521.58,61247.9,4829.91,5758.9,2,1
136631,0,0,6,352787.7526,6287475.776,250000,628842,98.876015,12,2,48.2,0.36,0.325,0.516747903,2.246036258,53,0.680447708,2927.3323,1808.14068,30697.11492,1815.78441,2905.35279,5566.21,3424.08,59286.18,4684.54,5423.39,2,1
136640,0,0,6,352959.9277,6290538.672,150000,160863,88.43895,12,2,38,0.36,0.23,0.870955855,0.746059669,53,0.522990077,2671.25131,1639.55319,27569.9558,1503.75821,2467.01109,6100.71,3686.65,64032.14,5083.39,6063.53,5,1
136651,0,0,6,353762,6289128,150000,402795,86.577538,17,3,48,0.36,0.231,1.917101899,2.164464019,66,0.641559205,1851.88837,1166.76243,18756.38874,1174.36185,1678.57259,5808.29,3521.58,61247.9,4829.91,5758.9,2,1
136661,0,0,6,350454.2569,6284676.438,80000,456646,82.832581,6,1,26.7,0.36,0.263,2.497095408,1.784698799,76,0.467940203,1826.05017,1310.87624,21898.7923,1211.17251,1661.07209,5564.72,3451.76,59757.27,4731.68,5421.59,5,1
136671,0,0,6,352229.9884,6290349.601,150000,273675,111.125328,12,2,47,0.36,0.375,0.613769005,0.20629882,70,0.58586763,4355.84333,2557.03092,39465.06209,2969.35095,4545.74428,6568.08,3950.22,68405.56,5507.69,6534.44,5,1
136680,0,0,6,354425.4549,6286118.928,170000,442166,77.236473,17,3,44.9,0.36,0.334,1.714340978,4.336122149,61,0.626168222,1718.08416,1155.89788,19643.42894,958.09903,1502.78283,5186.25,3218.85,55970.17,4333.11,5014.82,5,1
